Year,Question,Mean,Standard Deviation,Number of Possible Points
2023,1,3.79,2.57,9
2023,2,4.62,3.14,9
2023,3,2.07,2.28,9
2023,4,2.7,2.17,9
2023,5,4.46,3.26,9
2023,6,2.77,2.68,9
2009,1,4.67,2.64,9
2009,2,4.2,2.57,9
2009,3,1.92,2.21,9
2009,4,4.07,2.39,9
2009,5,2.74,2.43,9
2009,6,2.07,1.89,9
2019,1,3.7,2.25,9
2019,2,2.83,2.62,9
2019,3,2.7,2.43,9
2019,4,1.81,2.12,9
2019,5,3.21,2.5,9
2019,6,2.84,2.12,9
2017,1,3.32,2.34,9
2017,2,4.01,2.75,9
2017,3,3.63,2.63,9
2017,4,1.54,2.11,9
2017,5,3.59,2.82,9
2017,6,3.32,2.76,9
2004,1,4.89,2.97,9
2004,2,4.09,2.85,9
2004,3,2.12,2.3,9
2004,4,4.09,2.59,9
2004,5,2.63,2.44,9
2004,6,3.5,2.97,9
2013,1,2.57,1.93,9
2013,2,2.55,2.56,9
2013,3,3.65,2.67,9
2013,4,2.62,2.65,9
2013,5,4.14,2.8,9
2013,6,3.17,2.81,9
2014,1,2.5,2.48,9
2014,2,3.39,2.92,9
2014,3,3.26,2.69,9
2014,4,2.64,2.35,9
2014,5,3.62,3.09,9
2014,6,3.92,3.03,9
2010,1,3.67,2.51,9
2010,2,2.6,2.05,9
2010,3,2.19,2.03,9
2010,4,3.67,2.74,9
2010,5,1.75,1.99,9
2010,6,3.14,2.88,9
2007,1,4.33,2.91,9
2007,2,3.03,2.24,9
2007,3,0.96,1.57,9
2007,4,2.91,2.73,9
2007,5,2.48,2.45,9
2007,6,3.49,2.42,9
2006,1,4.54,2.94,9
2006,2,4.17,2.82,9
2006,3,3.24,2.69,9
2006,4,3.49,2.95,9
2006,5,3.7,2.59,9
2006,6,4.79,3.52,9
2011,1,2.79,2.44,9
2011,2,3.31,2.87,9
2011,3,4.64,2.69,9
2011,4,2.44,2.26,9
2011,5,1.63,2.32,9
2011,6,3.03,2.32,9
2015,1,3.42,2.5,9
2015,2,4.68,3.06,9
2015,3,4.43,2.45,9
2015,4,2.67,1.88,9
2015,5,3.75,2.72,9
2015,6,3.29,2.57,9
2012,1,3.96,2.88,9
2012,2,3.09,3.1,9
2012,3,2.67,2.58,9
2012,4,4.09,2.61,9
2012,5,2.87,2.24,9
2012,6,3.59,2.82,9
2005,1,5.73,2.91,9
2005,2,3.22,2.64,9
2005,3,1.76,2.07,9
2005,4,3.48,2.75,9
2005,5,2.9,2.42,9
2005,6,3.95,2.74,9
2016,1,3.99,2.68,9
2016,2,3.0,2.92,9
2016,3,2.74,2.53,9
2016,4,4.68,2.98,9
2016,5,2.5,2.51,9
2016,6,4.56,3.06,9
2018,1,2.82,2.17,9
2018,2,4.21,3.07,9
2018,3,3.36,2.52,9
2018,4,2.77,2.31,9
2018,5,2.59,2.31,9
2018,6,3.65,2.8,9
2021,1,2.03,1.79,9
2021,2,2.72,2.75,9
2021,3,1.55,1.97,9
2021,4,3.09,2.67,9
2021,5,2.72,2.53,9
2021,6,1.75,1.88,9
2008,1,4.89,2.61,9
2008,2,3.36,2.55,9
2008,3,2.45,2.39,9
2008,4,2.6,2.58,9
2008,5,3.7,2.73,9
2008,6,3.06,2.75,9
2022,1,3.22,2.24,9
2022,2,3.34,2.49,9
2022,3,2.36,2.46,9
2022,4,2.97,2.25,9
2022,5,3.11,2.55,9
2022,6,3.04,2.57,9
